Iteration,Algorithm,Cenary,Initial State,Objective,Generated vertices amount,Visited vertices amount,Cost,Path
5,UCS,1,(15 29),(10 25),137,109,90,(15 29) (14 29) (14 28) (13 28) (13 27) (12 27) (11 27) (11 26) (11 25) (10 25) 
5,BFS,2,(15 29),(10 25),122,102,115,(15 29) (14 29) (13 29) (12 29) (11 29) (10 29) (10 28) (10 27) (10 26) (10 25) 
5,DFS,2,(15 29),(10 25),1223,622,6405,(15 29) (15 30) (16 30) (17 30) (18 30) (19 30) (20 30) (21 30) (22 30) (23 30) (24 30) (25 30) (26 30) (27 30) (28 30) (29 30) (30 30) (30 29) (30 28) (30 27) (30 26) (30 25) (30 24) (30 23) (30 22) (30 21) (30 20) (30 19) (30 18) (30 17) (30 16) (30 15) (30 14) (30 13) (30 12) (30 11) (30 10) (30 9) (30 8) (30 7) (30 6) (30 5) (30 4) (30 3) (30 2) (30 1) (30 0) (29 0) (29 1) (29 2) (29 3) (29 4) (29 5) (29 6) (29 7) (29 8) (29 9) (29 10) (29 11) (29 12) (29 13) (29 14) (29 15) (29 16) (29 17) (29 18) (29 19) (29 20) (29 21) (29 22) (29 23) (29 24) (29 25) (29 26) (29 27) (29 28) (29 29) (28 29) (28 28) (28 27) (28 26) (28 25) (28 24) (28 23) (28 22) (28 21) (28 20) (28 19) (28 18) (28 17) (28 16) (28 15) (28 14) (28 13) (28 12) (28 11) (28 10) (28 9) (28 8) (28 7) (28 6) (28 5) (28 4) (28 3) (28 2) (28 1) (28 0) (27 0) (27 1) (27 2) (27 3) (27 4) (27 5) (27 6) (27 7) (27 8) (27 9) (27 10) (27 11) (27 12) (27 13) (27 14) (27 15) (27 16) (27 17) (27 18) (27 19) (27 20) (27 21) (27 22) (27 23) (27 24) (27 25) (27 26) (27 27) (27 28) (27 29) (26 29) (26 28) (26 27) (26 26) (26 25) (26 24) (26 23) (26 22) (26 21) (26 20) (26 19) (26 18) (26 17) (26 16) (26 15) (26 14) (26 13) (26 12) (26 11) (26 10) (26 9) (26 8) (26 7) (26 6) (26 5) (26 4) (26 3) (26 2) (26 1) (26 0) (25 0) (25 1) (25 2) (25 3) (25 4) (25 5) (25 6) (25 7) (25 8) (25 9) (25 10) (25 11) (25 12) (25 13) (25 14) (25 15) (25 16) (25 17) (25 18) (25 19) (25 20) (25 21) (25 22) (25 23) (25 24) (25 25) (25 26) (25 27) (25 28) (25 29) (24 29) (24 28) (24 27) (24 26) (24 25) (24 24) (24 23) (24 22) (24 21) (24 20) (24 19) (24 18) (24 17) (24 16) (24 15) (24 14) (24 13) (24 12) (24 11) (24 10) (24 9) (24 8) (24 7) (24 6) (24 5) (24 4) (24 3) (24 2) (24 1) (24 0) (23 0) (23 1) (23 2) (23 3) (23 4) (23 5) (23 6) (23 7) (23 8) (23 9) (23 10) (23 11) (23 12) (23 13) (23 14) (23 15) (23 16) (23 17) (23 18) (23 19) (23 20) (23 21) (23 22) (23 23) (23 24) (23 25) (23 26) (23 27) (23 28) (23 29) (22 29) (22 28) (22 27) (22 26) (22 25) (22 24) (22 23) (22 22) (22 21) (22 20) (22 19) (22 18) (22 17) (22 16) (22 15) (22 14) (22 13) (22 12) (22 11) (22 10) (22 9) (22 8) (22 7) (22 6) (22 5) (22 4) (22 3) (22 2) (22 1) (22 0) (21 0) (21 1) (21 2) (21 3) (21 4) (21 5) (21 6) (21 7) (21 8) (21 9) (21 10) (21 11) (21 12) (21 13) (21 14) (21 15) (21 16) (21 17) (21 18) (21 19) (21 20) (21 21) (21 22) (21 23) (21 24) (21 25) (21 26) (21 27) (21 28) (21 29) (20 29) (20 28) (20 27) (20 26) (20 25) (20 24) (20 23) (20 22) (20 21) (20 20) (20 19) (20 18) (20 17) (20 16) (20 15) (20 14) (20 13) (20 12) (20 11) (20 10) (20 9) (20 8) (20 7) (20 6) (20 5) (20 4) (20 3) (20 2) (20 1) (20 0) (19 0) (19 1) (19 2) (19 3) (19 4) (19 5) (19 6) (19 7) (19 8) (19 9) (19 10) (19 11) (19 12) (19 13) (19 14) (19 15) (19 16) (19 17) (19 18) (19 19) (19 20) (19 21) (19 22) (19 23) (19 24) (19 25) (19 26) (19 27) (19 28) (19 29) (18 29) (18 28) (18 27) (18 26) (18 25) (18 24) (18 23) (18 22) (18 21) (18 20) (18 19) (18 18) (18 17) (18 16) (18 15) (18 14) (18 13) (18 12) (18 11) (18 10) (18 9) (18 8) (18 7) (18 6) (18 5) (18 4) (18 3) (18 2) (18 1) (18 0) (17 0) (17 1) (17 2) (17 3) (17 4) (17 5) (17 6) (17 7) (17 8) (17 9) (17 10) (17 11) (17 12) (17 13) (17 14) (17 15) (17 16) (17 17) (17 18) (17 19) (17 20) (17 21) (17 22) (17 23) (17 24) (17 25) (17 26) (17 27) (17 28) (17 29) (16 29) (16 28) (16 27) (16 26) (16 25) (16 24) (16 23) (16 22) (16 21) (16 20) (16 19) (16 18) (16 17) (16 16) (16 15) (16 14) (16 13) (16 12) (16 11) (16 10) (16 9) (16 8) (16 7) (16 6) (16 5) (16 4) (16 3) (16 2) (16 1) (16 0) (15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (15 6) (15 7) (15 8) (15 9) (15 10) (15 11) (15 12) (15 13) (15 14) (15 15) (15 16) (15 17) (15 18) (15 19) (15 20) (15 21) (15 22) (15 23) (15 24) (15 25) (15 26) (15 27) (15 28) (14 28) (14 29) (14 30) (13 30) (13 29) (13 28) (13 27) (14 27) (14 26) (14 25) (14 24) (14 23) (14 22) (14 21) (14 20) (14 19) (14 18) (14 17) (14 16) (14 15) (14 14) (14 13) (14 12) (14 11) (14 10) (14 9) (14 8) (14 7) (14 6) (14 5) (14 4) (14 3) (14 2) (14 1) (14 0) (13 0) (13 1) (13 2) (13 3) (13 4) (13 5) (13 6) (13 7) (13 8) (13 9) (13 10) (13 11) (13 12) (13 13) (13 14) (13 15) (13 16) (13 17) (13 18) (13 19) (13 20) (13 21) (13 22) (13 23) (13 24) (13 25) (13 26) (12 26) (12 27) (12 28) (12 29) (12 30) (11 30) (11 29) (11 28) (11 27) (11 26) (11 25) (12 25) (12 24) (12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) (12 16) (12 15) (12 14) (12 13) (12 12) (12 11) (12 10) (12 9) (12 8) (12 7) (12 6) (12 5) (12 4) (12 3) (12 2) (12 1) (12 0) (11 0) (11 1) (11 2) (11 3) (11 4) (11 5) (11 6) (11 7) (11 8) (11 9) (11 10) (11 11) (11 12) (11 13) (11 14) (11 15) (11 16) (11 17) (11 18) (11 19) (11 20) (11 21) (11 22) (11 23) (11 24) (10 24) (10 25) 
5,UCS,2,(15 29),(10 25),131,106,115,(15 29) (15 28) (15 27) (15 26) (15 25) (14 25) (13 25) (12 25) (11 25) (10 25) 
5,BFS,3,(15 29),(10 25),122,102,105,(15 29) (14 29) (13 29) (12 29) (11 29) (10 29) (10 28) (10 27) (10 26) (10 25) 
5,DFS,3,(15 29),(10 25),1223,622,6346,(15 29) (15 30) (16 30) (17 30) (18 30) (19 30) (20 30) (21 30) (22 30) (23 30) (24 30) (25 30) (26 30) (27 30) (28 30) (29 30) (30 30) (30 29) (30 28) (30 27) (30 26) (30 25) (30 24) (30 23) (30 22) (30 21) (30 20) (30 19) (30 18) (30 17) (30 16) (30 15) (30 14) (30 13) (30 12) (30 11) (30 10) (30 9) (30 8) (30 7) (30 6) (30 5) (30 4) (30 3) (30 2) (30 1) (30 0) (29 0) (29 1) (29 2) (29 3) (29 4) (29 5) (29 6) (29 7) (29 8) (29 9) (29 10) (29 11) (29 12) (29 13) (29 14) (29 15) (29 16) (29 17) (29 18) (29 19) (29 20) (29 21) (29 22) (29 23) (29 24) (29 25) (29 26) (29 27) (29 28) (29 29) (28 29) (28 28) (28 27) (28 26) (28 25) (28 24) (28 23) (28 22) (28 21) (28 20) (28 19) (28 18) (28 17) (28 16) (28 15) (28 14) (28 13) (28 12) (28 11) (28 10) (28 9) (28 8) (28 7) (28 6) (28 5) (28 4) (28 3) (28 2) (28 1) (28 0) (27 0) (27 1) (27 2) (27 3) (27 4) (27 5) (27 6) (27 7) (27 8) (27 9) (27 10) (27 11) (27 12) (27 13) (27 14) (27 15) (27 16) (27 17) (27 18) (27 19) (27 20) (27 21) (27 22) (27 23) (27 24) (27 25) (27 26) (27 27) (27 28) (27 29) (26 29) (26 28) (26 27) (26 26) (26 25) (26 24) (26 23) (26 22) (26 21) (26 20) (26 19) (26 18) (26 17) (26 16) (26 15) (26 14) (26 13) (26 12) (26 11) (26 10) (26 9) (26 8) (26 7) (26 6) (26 5) (26 4) (26 3) (26 2) (26 1) (26 0) (25 0) (25 1) (25 2) (25 3) (25 4) (25 5) (25 6) (25 7) (25 8) (25 9) (25 10) (25 11) (25 12) (25 13) (25 14) (25 15) (25 16) (25 17) (25 18) (25 19) (25 20) (25 21) (25 22) (25 23) (25 24) (25 25) (25 26) (25 27) (25 28) (25 29) (24 29) (24 28) (24 27) (24 26) (24 25) (24 24) (24 23) (24 22) (24 21) (24 20) (24 19) (24 18) (24 17) (24 16) (24 15) (24 14) (24 13) (24 12) (24 11) (24 10) (24 9) (24 8) (24 7) (24 6) (24 5) (24 4) (24 3) (24 2) (24 1) (24 0) (23 0) (23 1) (23 2) (23 3) (23 4) (23 5) (23 6) (23 7) (23 8) (23 9) (23 10) (23 11) (23 12) (23 13) (23 14) (23 15) (23 16) (23 17) (23 18) (23 19) (23 20) (23 21) (23 22) (23 23) (23 24) (23 25) (23 26) (23 27) (23 28) (23 29) (22 29) (22 28) (22 27) (22 26) (22 25) (22 24) (22 23) (22 22) (22 21) (22 20) (22 19) (22 18) (22 17) (22 16) (22 15) (22 14) (22 13) (22 12) (22 11) (22 10) (22 9) (22 8) (22 7) (22 6) (22 5) (22 4) (22 3) (22 2) (22 1) (22 0) (21 0) (21 1) (21 2) (21 3) (21 4) (21 5) (21 6) (21 7) (21 8) (21 9) (21 10) (21 11) (21 12) (21 13) (21 14) (21 15) (21 16) (21 17) (21 18) (21 19) (21 20) (21 21) (21 22) (21 23) (21 24) (21 25) (21 26) (21 27) (21 28) (21 29) (20 29) (20 28) (20 27) (20 26) (20 25) (20 24) (20 23) (20 22) (20 21) (20 20) (20 19) (20 18) (20 17) (20 16) (20 15) (20 14) (20 13) (20 12) (20 11) (20 10) (20 9) (20 8) (20 7) (20 6) (20 5) (20 4) (20 3) (20 2) (20 1) (20 0) (19 0) (19 1) (19 2) (19 3) (19 4) (19 5) (19 6) (19 7) (19 8) (19 9) (19 10) (19 11) (19 12) (19 13) (19 14) (19 15) (19 16) (19 17) (19 18) (19 19) (19 20) (19 21) (19 22) (19 23) (19 24) (19 25) (19 26) (19 27) (19 28) (19 29) (18 29) (18 28) (18 27) (18 26) (18 25) (18 24) (18 23) (18 22) (18 21) (18 20) (18 19) (18 18) (18 17) (18 16) (18 15) (18 14) (18 13) (18 12) (18 11) (18 10) (18 9) (18 8) (18 7) (18 6) (18 5) (18 4) (18 3) (18 2) (18 1) (18 0) (17 0) (17 1) (17 2) (17 3) (17 4) (17 5) (17 6) (17 7) (17 8) (17 9) (17 10) (17 11) (17 12) (17 13) (17 14) (17 15) (17 16) (17 17) (17 18) (17 19) (17 20) (17 21) (17 22) (17 23) (17 24) (17 25) (17 26) (17 27) (17 28) (17 29) (16 29) (16 28) (16 27) (16 26) (16 25) (16 24) (16 23) (16 22) (16 21) (16 20) (16 19) (16 18) (16 17) (16 16) (16 15) (16 14) (16 13) (16 12) (16 11) (16 10) (16 9) (16 8) (16 7) (16 6) (16 5) (16 4) (16 3) (16 2) (16 1) (16 0) (15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (15 6) (15 7) (15 8) (15 9) (15 10) (15 11) (15 12) (15 13) (15 14) (15 15) (15 16) (15 17) (15 18) (15 19) (15 20) (15 21) (15 22) (15 23) (15 24) (15 25) (15 26) (15 27) (15 28) (14 28) (14 29) (14 30) (13 30) (13 29) (13 28) (13 27) (14 27) (14 26) (14 25) (14 24) (14 23) (14 22) (14 21) (14 20) (14 19) (14 18) (14 17) (14 16) (14 15) (14 14) (14 13) (14 12) (14 11) (14 10) (14 9) (14 8) (14 7) (14 6) (14 5) (14 4) (14 3) (14 2) (14 1) (14 0) (13 0) (13 1) (13 2) (13 3) (13 4) (13 5) (13 6) (13 7) (13 8) (13 9) (13 10) (13 11) (13 12) (13 13) (13 14) (13 15) (13 16) (13 17) (13 18) (13 19) (13 20) (13 21) (13 22) (13 23) (13 24) (13 25) (13 26) (12 26) (12 27) (12 28) (12 29) (12 30) (11 30) (11 29) (11 28) (11 27) (11 26) (11 25) (12 25) (12 24) (12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) (12 16) (12 15) (12 14) (12 13) (12 12) (12 11) (12 10) (12 9) (12 8) (12 7) (12 6) (12 5) (12 4) (12 3) (12 2) (12 1) (12 0) (11 0) (11 1) (11 2) (11 3) (11 4) (11 5) (11 6) (11 7) (11 8) (11 9) (11 10) (11 11) (11 12) (11 13) (11 14) (11 15) (11 16) (11 17) (11 18) (11 19) (11 20) (11 21) (11 22) (11 23) (11 24) (10 24) (10 25) 
5,UCS,3,(15 29),(10 25),147,118,96,(15 29) (15 28) (15 27) (15 26) (14 26) (13 26) (12 26) (11 26) (10 26) (10 25) 
5,BFS,4,(15 29),(10 25),122,102,105,(15 29) (14 29) (13 29) (12 29) (11 29) (10 29) (10 28) (10 27) (10 26) (10 25) 
5,DFS,4,(15 29),(10 25),1223,622,6185,(15 29) (15 30) (16 30) (17 30) (18 30) (19 30) (20 30) (21 30) (22 30) (23 30) (24 30) (25 30) (26 30) (27 30) (28 30) (29 30) (30 30) (30 29) (30 28) (30 27) (30 26) (30 25) (30 24) (30 23) (30 22) (30 21) (30 20) (30 19) (30 18) (30 17) (30 16) (30 15) (30 14) (30 13) (30 12) (30 11) (30 10) (30 9) (30 8) (30 7) (30 6) (30 5) (30 4) (30 3) (30 2) (30 1) (30 0) (29 0) (29 1) (29 2) (29 3) (29 4) (29 5) (29 6) (29 7) (29 8) (29 9) (29 10) (29 11) (29 12) (29 13) (29 14) (29 15) (29 16) (29 17) (29 18) (29 19) (29 20) (29 21) (29 22) (29 23) (29 24) (29 25) (29 26) (29 27) (29 28) (29 29) (28 29) (28 28) (28 27) (28 26) (28 25) (28 24) (28 23) (28 22) (28 21) (28 20) (28 19) (28 18) (28 17) (28 16) (28 15) (28 14) (28 13) (28 12) (28 11) (28 10) (28 9) (28 8) (28 7) (28 6) (28 5) (28 4) (28 3) (28 2) (28 1) (28 0) (27 0) (27 1) (27 2) (27 3) (27 4) (27 5) (27 6) (27 7) (27 8) (27 9) (27 10) (27 11) (27 12) (27 13) (27 14) (27 15) (27 16) (27 17) (27 18) (27 19) (27 20) (27 21) (27 22) (27 23) (27 24) (27 25) (27 26) (27 27) (27 28) (27 29) (26 29) (26 28) (26 27) (26 26) (26 25) (26 24) (26 23) (26 22) (26 21) (26 20) (26 19) (26 18) (26 17) (26 16) (26 15) (26 14) (26 13) (26 12) (26 11) (26 10) (26 9) (26 8) (26 7) (26 6) (26 5) (26 4) (26 3) (26 2) (26 1) (26 0) (25 0) (25 1) (25 2) (25 3) (25 4) (25 5) (25 6) (25 7) (25 8) (25 9) (25 10) (25 11) (25 12) (25 13) (25 14) (25 15) (25 16) (25 17) (25 18) (25 19) (25 20) (25 21) (25 22) (25 23) (25 24) (25 25) (25 26) (25 27) (25 28) (25 29) (24 29) (24 28) (24 27) (24 26) (24 25) (24 24) (24 23) (24 22) (24 21) (24 20) (24 19) (24 18) (24 17) (24 16) (24 15) (24 14) (24 13) (24 12) (24 11) (24 10) (24 9) (24 8) (24 7) (24 6) (24 5) (24 4) (24 3) (24 2) (24 1) (24 0) (23 0) (23 1) (23 2) (23 3) (23 4) (23 5) (23 6) (23 7) (23 8) (23 9) (23 10) (23 11) (23 12) (23 13) (23 14) (23 15) (23 16) (23 17) (23 18) (23 19) (23 20) (23 21) (23 22) (23 23) (23 24) (23 25) (23 26) (23 27) (23 28) (23 29) (22 29) (22 28) (22 27) (22 26) (22 25) (22 24) (22 23) (22 22) (22 21) (22 20) (22 19) (22 18) (22 17) (22 16) (22 15) (22 14) (22 13) (22 12) (22 11) (22 10) (22 9) (22 8) (22 7) (22 6) (22 5) (22 4) (22 3) (22 2) (22 1) (22 0) (21 0) (21 1) (21 2) (21 3) (21 4) (21 5) (21 6) (21 7) (21 8) (21 9) (21 10) (21 11) (21 12) (21 13) (21 14) (21 15) (21 16) (21 17) (21 18) (21 19) (21 20) (21 21) (21 22) (21 23) (21 24) (21 25) (21 26) (21 27) (21 28) (21 29) (20 29) (20 28) (20 27) (20 26) (20 25) (20 24) (20 23) (20 22) (20 21) (20 20) (20 19) (20 18) (20 17) (20 16) (20 15) (20 14) (20 13) (20 12) (20 11) (20 10) (20 9) (20 8) (20 7) (20 6) (20 5) (20 4) (20 3) (20 2) (20 1) (20 0) (19 0) (19 1) (19 2) (19 3) (19 4) (19 5) (19 6) (19 7) (19 8) (19 9) (19 10) (19 11) (19 12) (19 13) (19 14) (19 15) (19 16) (19 17) (19 18) (19 19) (19 20) (19 21) (19 22) (19 23) (19 24) (19 25) (19 26) (19 27) (19 28) (19 29) (18 29) (18 28) (18 27) (18 26) (18 25) (18 24) (18 23) (18 22) (18 21) (18 20) (18 19) (18 18) (18 17) (18 16) (18 15) (18 14) (18 13) (18 12) (18 11) (18 10) (18 9) (18 8) (18 7) (18 6) (18 5) (18 4) (18 3) (18 2) (18 1) (18 0) (17 0) (17 1) (17 2) (17 3) (17 4) (17 5) (17 6) (17 7) (17 8) (17 9) (17 10) (17 11) (17 12) (17 13) (17 14) (17 15) (17 16) (17 17) (17 18) (17 19) (17 20) (17 21) (17 22) (17 23) (17 24) (17 25) (17 26) (17 27) (17 28) (17 29) (16 29) (16 28) (16 27) (16 26) (16 25) (16 24) (16 23) (16 22) (16 21) (16 20) (16 19) (16 18) (16 17) (16 16) (16 15) (16 14) (16 13) (16 12) (16 11) (16 10) (16 9) (16 8) (16 7) (16 6) (16 5) (16 4) (16 3) (16 2) (16 1) (16 0) (15 0) (15 1) (15 2) (15 3) (15 4) (15 5) (15 6) (15 7) (15 8) (15 9) (15 10) (15 11) (15 12) (15 13) (15 14) (15 15) (15 16) (15 17) (15 18) (15 19) (15 20) (15 21) (15 22) (15 23) (15 24) (15 25) (15 26) (15 27) (15 28) (14 28) (14 29) (14 30) (13 30) (13 29) (13 28) (13 27) (14 27) (14 26) (14 25) (14 24) (14 23) (14 22) (14 21) (14 20) (14 19) (14 18) (14 17) (14 16) (14 15) (14 14) (14 13) (14 12) (14 11) (14 10) (14 9) (14 8) (14 7) (14 6) (14 5) (14 4) (14 3) (14 2) (14 1) (14 0) (13 0) (13 1) (13 2) (13 3) (13 4) (13 5) (13 6) (13 7) (13 8) (13 9) (13 10) (13 11) (13 12) (13 13) (13 14) (13 15) (13 16) (13 17) (13 18) (13 19) (13 20) (13 21) (13 22) (13 23) (13 24) (13 25) (13 26) (12 26) (12 27) (12 28) (12 29) (12 30) (11 30) (11 29) (11 28) (11 27) (11 26) (11 25) (12 25) (12 24) (12 23) (12 22) (12 21) (12 20) (12 19) (12 18) (12 17) (12 16) (12 15) (12 14) (12 13) (12 12) (12 11) (12 10) (12 9) (12 8) (12 7) (12 6) (12 5) (12 4) (12 3) (12 2) (12 1) (12 0) (11 0) (11 1) (11 2) (11 3) (11 4) (11 5) (11 6) (11 7) (11 8) (11 9) (11 10) (11 11) (11 12) (11 13) (11 14) (11 15) (11 16) (11 17) (11 18) (11 19) (11 20) (11 21) (11 22) (11 23) (11 24) (10 24) (10 25) 
5,UCS,4,(15 29),(10 25),126,98,85,(15 29) (15 28) (15 27) (15 26) (15 25) (14 25) (13 25) (12 25) (11 25) (10 25) 
6,BFS,1,(26 9),(5 30),950,946,420,(26 9) (25 9) (24 9) (23 9) (22 9) (21 9) (20 9) (19 9) (18 9) (17 9) (16 9) (15 9) (14 9) (13 9) (12 9) (11 9) (10 9) (9 9) (8 9) (7 9) (6 9) (5 9) (5 10) (5 11) (5 12) (5 13) (5 14) (5 15) (5 16) (5 17) (5 18) (5 19) (5 20) (5 21) (5 22) (5 23) (5 24) (5 25) (5 26) (5 27) (5 28) (5 29) (5 30) 
